keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
lg dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Mar/Apr/May,False,
electrolux dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Dec/Jan/Mar,False,
dryer problems,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Dec/Apr,False,
maytag bravos dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Jan/Apr,False,
beko dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Mar,False,
candy washer dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Jan,False,
beko tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Mar,False,
candy dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Apr/May,False,
clothes dryer problems,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Dec/Apr,False,
heater for dryer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Mar/May,False,
lg clothes dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Mar/Apr/May,False,
miele dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Feb,False,
miele tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Feb,False,
samsung heat pump dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Apr/May,False,
samsung heat pump dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/May,False,
samsung heatpump dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Apr/May,False,
dryer stopped spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
clothes dryer stopped spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
dryer quit spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
dryer spinning,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Dec/Jan/Mar/Apr/May/Jun,False,
samsung washer dryer not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Feb,False,
washer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/Apr/May,False,
washing machine dryer not rotating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Jan/Feb/Apr/May,False,
washing machine spin dryer not working,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Jan/Mar/Apr/May/Jun,False,
dyson hair dryer not turning on,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Mar/May,False,
dryer not turning on whirlpool,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Apr,False,
samsung dryer making noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Mar,False,
noisy dryer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
clothes dryer noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
clothes dryer vibration,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/May,False,
dryer vibration,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/May,False,
samsung dryer makes noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Mar,False,
tumble dryer makes noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Nov/Dec/Jan/Apr,False,
whirlpool dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Mar,False,
dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan/Mar,False,
samsung dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
samsung dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Aug,False,
gas dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
dryer not spinning but heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct/Nov,False,
whirlpool dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/May,False,
speed queen dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
my dryer stopped working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
hotpoint dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
dryer heat not working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Apr,False,
dryer isnt drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
whirlpool gas dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
gas dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
lg gas dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Dec,False,
samsung dryer not drying no heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
maytag bravos heating element,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
electrolux dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
lg thinq dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
dryer drum not spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
maytag gas dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
samsung dryer stopped working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
whirlpool dryer not spinning but heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
dryer blowing cold air,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
indesit tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Dec,False,
candy tumble dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jan,False,
gas clothes dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
dryer not drying clothes all the way,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Dec,False,
dryer not drying all the way,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Dec,False,
lg dryer not drying fully,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
lg dryer not hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
dryer not working well,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
laundry dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
lg dryers problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
dryer heating element not working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
lg dryer sensor dry not working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
maytag dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
dryer not warming up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
dryer machine not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Oct,False,
dryer not getting warm,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan/Mar,False,
dryer is heating but not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
indesit dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Dec,False,
clothes dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan/Mar,False,
bosch washer dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Apr,False,
clothes dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
dryer not fully drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Nov,False,
beko condenser dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
samsung dryer stops after 5 minutes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
dryer not working properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Feb,False,
dryer will not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
lg sensor dry dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct/Jan,False,
zanussi tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
whirlpool clothes dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Mar,False,
tumble dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
my dryer stopped heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct/Jan,False,
samsung dryer not hot enough,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
dryer does not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
whirlpool dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Dec,False,
samsung sensor dry not working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
hotpoint tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
troubleshooting dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
samsung dryer heat not working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
washer dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
front load dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
samsung dryer not working properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
dryer problems no heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Feb,False,
dryer not heating well,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
dryer works no heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Apr,False,
washer dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
if dryer is not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
dryer quit working,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct/Nov,False,
whirlpool dryer will not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Mar,False,
maytag commercial dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Mar,False,
clothes dryer blowing cold air,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
samsung clothes dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Aug,False,
beko sensor dryer 6kg not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
bosch classixx 7 not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
bosch condenser dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
bosch condenser tumble dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
bosch dryer condenser problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
bosch dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
bosch serie 6 dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
bosch series 8 tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
bosch tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
bosch washer dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
broken heating element in dryer,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
candy dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jan,False,
candy tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
cause of dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
causes for dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
cloth dryer not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
clothes dryer does not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
clothes dryer heating but not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
clothes dryer isn t drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
clothes dryer will not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,False,
common dryer problems no heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
condenser dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
condenser tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
condenser tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
defy tumble dryer not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov,False,
dryer heating up but not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov,False,
dryer heats but does not dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
