Campaign,Ad Group,ID#Original,ID,Location#Original,Location,Reach,Location groups#Original,Location groups,Radius#Original,Radius,Unit#Original,Unit,Bid Modifier,Campaign Status,Ad Group Status,Status,Comment
Core Electrician Services,,,1000013,,"Dubai,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9041083,,"Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9070456,,"Palm Islands,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9189230,,"Jabal Ali Second,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9189519,,"Dubai Sports City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9189585,,"Al Quoz Industrial Area 4,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9189674,,"Dubai Production City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9189772,,"Dubai Creek Harbour,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9190056,,"Nadd Al Hamar,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9190079,,"Dubai Investment Park - 2,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9190096,,"Al Barsha 2,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9190172,,"Al Sufouh 1,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9190191,,"Jumeirah Park,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9190340,,"Damac Hills,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9190838,,"Dubai Investment Park First,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9190853,,"International City Phase(2),Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9190877,,"Al Twar,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9191291,,"Ras Al Khor Industrial Area 3,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9191366,,"Al Warqa 3,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9191386,,"Al Safa,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9191435,,"Dubai Festival City,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9191492,,"The Villa,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9191736,,"Jabal Ali Industrial Second,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9191938,,"Mudon,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9191960,,"Green Community Village,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9192184,,"Dubai Industrial City,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9193142,,"Academic City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9193233,,"Jebel Ali Freezone,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9193316,,"Arabian Ranches,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9193322,,"Al Quoz 1,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9193826,,"Motor City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
