rank,opportunity,serp_score,payout,pricing,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,emd,pseo,national,other_local,directory,pack_size,pack_median_reviews,query,occupants
20,0.0,0,68.75,geo,68.75,HVAC,ac repair,Westfield,IN,Hamilton,54677,1,8,0,0,0,0,1,3,618,ac repair Westfield IN,williamscomfortair.com (dedicated page) | yelp.com (directory) | bluefoxhvac.com (dedicated page) | airtron.com (dedicated page) | goodguys.app (dedicated page) | bollscomfort.com (dedicated page) | calljakes.com (dedicated page) | integrityhomehvac.com (dedicated page) | lcsheatingandcooling.com (dedicated page)
21,0.0,0,68.75,geo,68.75,HVAC,ac repair,Avon,IN,Hendricks,23437,1,7,0,0,0,0,2,3,59,ac repair Avon IN,williamscomfortair.com (dedicated page) | yorksqualityair.com (dedicated page) | yelp.com (directory) | polleysperfectseasons.com (dedicated page) | aireserv.com (dedicated page) | airtron.com (dedicated page) | summersphc.com (dedicated page) | facebook.com (social profile) | indycomfortpro.com (dedicated page)
22,0.0,0,68.75,geo,68.75,HVAC,ac repair,Greenwood,IN,Johnson,66029,2,6,0,0,0,1,2,3,312,ac repair Greenwood IN,aireserv.com (dedicated page) | williamscomfortair.com (dedicated page) | yelp.com (directory) | airtron.com (dedicated page) | yorksqualityair.com (dedicated page) | speedyairtoday.com (dedicated page) | northerncomfortsystems.com (dedicated page) | johnsoncomfort.com (independent site) | angi.com (directory)
23,0.0,0,66.41,geo,66.41,HVAC,ac repair,Lebanon,IN,Boone,17812,1,7,2,0,0,0,2,3,1089,ac repair Lebanon IN,airy-time.com (dedicated page) | williamscomfortair.com (dedicated page) | booneheatingandcooling.com (dedicated page) | facebook.com (social profile) | warrenmechanicalhvac.com (dedicated page) | yelp.com (directory) | jtrrepairlebanon.com (city EMD + dedicated page) | kightsqualityair.com (dedicated page) | scottsgaragelebanon.com (city EMD + dedicated page)
24,0.0,0,64.58,geo,64.58,HVAC,ac repair,Muncie,IN,Delaware,85519,4,7,0,0,0,0,2,3,97,ac repair Muncie IN,yelp.com (directory) | williamscomfortair.com (dedicated page) | facebook.com (social profile) | reederhvac.com (dedicated page) | summersphc.com (dedicated page) | mikekinghvac.com (dedicated page) | calljakes.com (dedicated page) | petermanhvac.com (dedicated page) | onehourheatandair.com (dedicated page)
25,0.0,0,61.25,geo,61.25,HVAC,ac repair,Seymour,IN,Jackson,22371,1,5,1,0,0,1,3,3,45,ac repair Seymour IN,craigsheatingandair.com (independent site) | yelp.com (directory) | aplusderr.com (dedicated page) | schneiderplumbingandhvac.com (dedicated page) | seymourtire.com (city EMD + dedicated page) | facebook.com (social profile) | advantageheatingandair.com (dedicated page) | reliablecomfort.com (dedicated page) | angi.com (directory)
26,0.0,0,60.38,geo,60.38,HVAC,ac repair,Plainfield,IN,Hendricks,36369,1,6,0,0,0,2,1,4,1684,ac repair Plainfield IN,polleysperfectseasons.com (dedicated page) | newwavehomesolutions.com (independent site) | williamscomfortair.com (dedicated page) | xpresspro.com (independent site) | midas.com (dedicated page) | yelp.com (directory) | bryant.com (dedicated page) | airtron.com (dedicated page) | fellowshipheatingandcoolinginc.com (dedicated page)
27,0.0,0,59.85,geo,59.85,HVAC,ac repair,Delaware,OH,Delaware,44589,1,5,1,0,0,1,3,3,76,ac repair Delaware OH,ttmmechanical.com (independent site) | buckeyeheat.com (dedicated page) | facebook.com (social profile) | yelp.com (directory) | indoortemp.com (dedicated page) | angi.com (directory) | emergencyplumbingservice.com (dedicated page) | firestonecompleteautocare.com (dedicated page) | delawareairandheat.com (city EMD + dedicated page)
28,0.0,0,59.85,geo,59.85,HVAC,ac repair,Pataskala,OH,Licking,18223,1,7,0,0,0,0,2,3,54,ac repair Pataskala OH,buckeyeheat.com (dedicated page) | bryant.com (dedicated page) | careheatingcooling.com (dedicated page) | rightwayhvac.com (dedicated page) | chandlerheatingcooling.com (dedicated page) | yelp.com (directory) | accuratehvac.com (dedicated page) | bbb.org (directory) | xtremeairllc.com (dedicated page)
29,0.0,0,59.5,geo,59.5,HVAC,ac repair,Blue Springs,MO,Jackson,59965,3,7,1,0,0,0,2,3,465,ac repair Blue Springs MO,dadscoolair.com (dedicated page) | praycophc.com (dedicated page) | yelp.com (directory) | autorepairbluesprings.com (city EMD + dedicated page) | aireserv.com (dedicated page) | angi.com (directory) | abmay.com (dedicated page) | callfirstmate.com (dedicated page) | cmmoseandson.com (dedicated page)
30,0.0,0,59.5,geo,59.5,HVAC,ac repair,Grandview,MO,Jackson,26527,1,6,0,0,0,0,3,3,101,ac repair Grandview MO,abmay.com (dedicated page) | summithckc.com (dedicated page) | yelp.com (directory) | firestonecompleteautocare.com (dedicated page) | kchvackc.com (dedicated page) | homedepot.com (dedicated page) | cmmoseandson.com (dedicated page) | thumbtack.com (directory) | nextdoor.com (social profile)
31,0.0,0,59.5,geo,59.5,HVAC,ac repair,Independence,MO,Jackson,121740,9,6,0,0,0,1,2,3,103,ac repair Independence MO,abmay.com (dedicated page) | yelp.com (directory) | callfirstmate.com (dedicated page) | mcintosh-hc.com (dedicated page) | cbac.com (dedicated page) | mcdanielfurnace.biz (independent site) | angi.com (directory) | barrsautorepair.com (dedicated page) | midas.com (dedicated page)
32,0.0,0,59.5,geo,59.5,HVAC,ac repair,Liberty,MO,Clay,30689,2,5,0,0,0,1,3,4,2554,ac repair Liberty MO,airunlimitedkc.com (independent site) | haleshnc.com (dedicated page) | yelp.com (directory) | climatecontrolkc.com (dedicated page) | bucknershc.com (dedicated page) | facebook.com (social profile) | firestonecompleteautocare.com (dedicated page) | thumbtack.com (directory) | kchvackc.com (dedicated page)
33,0.0,0,56.0,geo,56.0,HVAC,ac repair,New Albany,IN,Floyd,37581,2,6,1,0,0,0,3,4,224,ac repair New Albany IN,newalbanyheating.com (city EMD + dedicated page) | facebook.com (social profile) | mitchcraighvac.com (dedicated page) | yelp.com (directory) | frankhmonroe.com (dedicated page) | lambshvac.com (dedicated page) | summersphc.com (dedicated page) | oeffingercronehvacin.com (dedicated page) | angi.com (directory)
34,0.0,0,56.0,geo,56.0,HVAC,ac repair,Covington,KY,Kenton,41110,5,8,0,0,0,0,1,3,3,ac repair Covington KY,thomasgalbraith.com (dedicated page) | yelp.com (directory) | independence-mechanical.com (dedicated page) | logan-inc.com (dedicated page) | firestonecompleteautocare.com (dedicated page) | arlinghausair.com (dedicated page) | airtron.com (dedicated page) | schnellerair.com (dedicated page) | schmidtheating.com (dedicated page)
35,0.0,0,56.0,geo,56.0,HVAC,ac repair,Erlanger,KY,Kenton,19875,2,7,0,0,0,0,2,3,423,ac repair Erlanger KY,callnowhvac.com (dedicated page) | arlinghausair.com (dedicated page) | schmidtheating.com (dedicated page) | midas.com (dedicated page) | yelp.com (directory) | thomasgalbraith.com (dedicated page) | gchomeservice.com (dedicated page) | schnellerair.com (dedicated page) | facebook.com (social profile)
