rank,verdict,why,value,volume,opportunity,serp_score,payout,pricing,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,emd,pseo,national,other_local,directory,pack_size,pack_median_reviews,query,occupants
1,STOP,4 dedicated plumbing pages,9027.2,320,28.21,26,108.5,geo,108.5,Plumbing,plumber,Camp Hill,PA,Cumberland,8169,1,4,0,0,0,2,3,3,130,plumber Camp Hill PA,cropfbrothers.com (dedicated page) | rotorooter.com (dedicated page) | ezimmerman.com (dedicated page) | bbb.org (directory) | facebook.com (social profile) | yelp.com (directory) | leggettinc.com (independent site) | neffsvilleph.com (dedicated page) | prontoplumbing.com (independent site)
2,STOP,4 dedicated plumbing pages; map pack at 822 reviews,4860.8,320,15.19,14,108.5,geo,108.5,Plumbing,plumber,Mechanicsburg,PA,Cumberland,9720,2,4,0,0,0,2,3,3,822,plumber Mechanicsburg PA,rotorooter.com (dedicated page) | yelp.com (directory) | centralpennplumbing.com (independent site) | angi.com (directory) | hlstonebergerplumbing.com (independent site) | hbmcclure.com (dedicated page) | ezimmerman.com (dedicated page) | bbb.org (directory) | 717homeservices.com (dedicated page)
