rank,opportunity,serp_score,payout,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,pseo,national,directory,query
79,45.74,16,140.0,285.88,Roofing,roof leak repair,Tustin,CA,Orange,78981,4,4,2,0,3,roof leak repair Tustin CA
80,45.49,16,140.0,284.33,Roofing,roof leak repair,Montebello,CA,Los Angeles,61045,1,5,1,0,3,roof leak repair Montebello CA
81,45.47,16,140.0,284.19,Roofing,roof leak repair,Fountain Valley,CA,Orange,56258,2,4,1,0,0,roof leak repair Fountain Valley CA
82,42.17,16,140.0,263.55,Roofing,roof leak repair,Alhambra,CA,Los Angeles,81022,6,3,3,0,1,roof leak repair Alhambra CA
83,41.54,16,122.5,259.6,Roofing,roof leak repair,Los Altos,CA,Santa Clara,30698,3,4,2,0,2,roof leak repair Los Altos CA
84,41.54,16,122.5,259.6,Roofing,roof leak repair,Campbell,CA,Santa Clara,42781,3,5,0,0,2,roof leak repair Campbell CA
85,40.76,16,122.5,254.78,Roofing,roof leak repair,San Leandro,CA,Alameda,87826,4,3,3,0,1,roof leak repair San Leandro CA
86,40.36,16,140.0,252.25,Roofing,roof leak repair,Rosemead,CA,Los Angeles,50013,3,4,2,0,2,roof leak repair Rosemead CA
87,40.08,16,140.0,250.5,Roofing,roof leak repair,Perris,CA,Riverside,80511,4,4,1,0,2,roof leak repair Perris CA
88,28.59,10,140.0,285.88,Roofing,roof leak repair,Buena Park,CA,Orange,82871,4,5,0,0,2,roof leak repair Buena Park CA
89,26.31,10,122.5,263.09,Roofing,roof leak repair,Belmont,CA,San Mateo,27337,1,5,1,0,2,roof leak repair Belmont CA
90,24.96,10,140.0,249.62,Roofing,roof leak repair,Hawthorne,CA,Los Angeles,85191,3,4,2,0,2,roof leak repair Hawthorne CA
91,24.96,10,140.0,249.62,Roofing,roof leak repair,El Monte,CA,Los Angeles,106109,4,5,0,0,2,roof leak repair El Monte CA
92,24.61,10,140.0,246.13,Roofing,roof leak repair,Oak Park,CA,Ventura,13757,1,1,6,0,0,roof leak repair Oak Park CA
93,24.53,10,140.0,245.25,Roofing,roof leak repair,Lake Elsinore,CA,Riverside,72461,2,4,2,0,1,roof leak repair Lake Elsinore CA
94,10.22,4,166.95,255.5,Roofing,roof leak repair,Summit,NJ,Union,22705,2,5,1,0,2,roof leak repair Summit NJ
95,10.09,4,140.0,252.25,Roofing,roof leak repair,Temple City,CA,Los Angeles,35430,1,4,3,0,2,roof leak repair Temple City CA
96,9.89,4,166.25,247.35,Roofing,roof leak repair,Humble,TX,Harris,16521,4,6,0,0,2,roof leak repair Humble TX
97,0.0,0,140.0,288.5,Roofing,roof leak repair,Lakewood,CA,Los Angeles,79850,5,5,1,0,1,roof leak repair Lakewood CA
98,0.0,0,140.0,286.81,Roofing,roof leak repair,La Mirada,CA,Los Angeles,47180,3,6,0,0,2,roof leak repair La Mirada CA
99,0.0,0,140.0,284.19,Roofing,roof leak repair,Yorba Linda,CA,Orange,67170,3,6,0,0,2,roof leak repair Yorba Linda CA
100,0.0,0,140.0,281.95,Roofing,roof leak repair,Stanton,CA,Orange,39402,1,6,2,0,0,roof leak repair Stanton CA
101,0.0,0,140.0,277.27,Roofing,roof leak repair,Placentia,CA,Orange,52826,3,7,0,0,3,roof leak repair Placentia CA
102,0.0,0,140.0,274.65,Roofing,roof leak repair,Ladera Ranch,CA,Orange,23793,1,5,0,0,0,roof leak repair Ladera Ranch CA
103,0.0,0,140.0,273.69,Roofing,roof leak repair,Corona Del Mar,CA,Orange,83845,1,5,2,0,1,roof leak repair Corona Del Mar CA
104,0.0,0,140.0,266.11,Roofing,roof leak repair,Arcadia,CA,Los Angeles,55170,4,5,2,0,2,roof leak repair Arcadia CA
105,0.0,0,140.0,262.61,Roofing,roof leak repair,Agoura Hills,CA,Los Angeles,19721,2,7,0,0,2,roof leak repair Agoura Hills CA
106,0.0,0,166.25,261.35,Roofing,roof leak repair,Missouri City,TX,Fort Bend,76558,2,6,1,0,2,roof leak repair Missouri City TX
107,0.0,0,166.25,261.35,Roofing,roof leak repair,Stafford,TX,Fort Bend,17401,2,8,0,0,2,roof leak repair Stafford TX
108,0.0,0,122.5,261.03,Roofing,roof leak repair,Millbrae,CA,San Mateo,22689,1,6,1,0,2,roof leak repair Millbrae CA
109,0.0,0,122.5,259.93,Roofing,roof leak repair,Burlingame,CA,San Mateo,30525,2,7,0,0,0,roof leak repair Burlingame CA
110,0.0,0,122.5,259.6,Roofing,roof leak repair,Mountain View,CA,Santa Clara,83732,6,7,0,0,2,roof leak repair Mountain View CA
111,0.0,0,140.0,259.27,Roofing,roof leak repair,Bell Gardens,CA,Los Angeles,38229,2,5,3,0,1,roof leak repair Bell Gardens CA
112,0.0,0,166.95,255.5,Roofing,roof leak repair,Plainfield,NJ,Union,55236,4,6,1,0,2,roof leak repair Plainfield NJ
113,0.0,0,166.95,254.61,Roofing,roof leak repair,Hackettstown,NJ,Warren,10140,1,7,0,0,2,roof leak repair Hackettstown NJ
114,0.0,0,166.95,254.61,Roofing,roof leak repair,Somerville,NJ,Somerset,13410,1,5,2,0,1,roof leak repair Somerville NJ
115,0.0,0,140.0,252.25,Roofing,roof leak repair,Pico Rivera,CA,Los Angeles,60272,3,4,3,0,1,roof leak repair Pico Rivera CA
116,0.0,0,140.0,252.25,Roofing,roof leak repair,Santa Fe Springs,CA,Los Angeles,18871,2,5,3,0,0,roof leak repair Santa Fe Springs CA
117,0.0,0,140.0,249.62,Roofing,roof leak repair,Inglewood,CA,Los Angeles,104569,12,8,0,0,1,roof leak repair Inglewood CA
118,0.0,0,140.0,249.62,Roofing,roof leak repair,Lomita,CA,Los Angeles,20225,1,5,3,0,1,roof leak repair Lomita CA
119,0.0,0,140.0,249.62,Roofing,roof leak repair,Glendora,CA,Los Angeles,50926,2,5,1,0,1,roof leak repair Glendora CA
