town,population,payout,live bid,plumbers,plumbing,emergency plumbing,drain cleaning,water heater repair
,,,cells are: named searches / searches in the town,,,,,
Lompoc,43646,61.25,yes,210* / 50,0 / 0,0 / 10,10 / 10,10 / 10
Carpinteria,13036,61.25,yes,30 / 40,0 / 0,0 / 10,10 / 10,0 / 10
