keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washer spinning slow,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jan/Mar/Jun,False,
lg washing machine water leaking from bottom,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
washer flooding,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer drain hose leaking,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Mar/Apr/Jun,False,
washing machine drain hose leaking,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Mar/Apr/Jun,False,
samsung washing machine leaking from bottom during spin cycle,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Jun,False,
washing machine flooding,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
lg washing machine water leak from bottom,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
water leaking under the washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Jan/Jun,False,
lg washer noisy,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Apr/Jun,False,
lg washing machine noisy,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Apr/Jun,False,
samsung eco bubble door wont open,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Feb/Apr/Jun,False,
samsung washing machine emergency drain,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jul,False,urgent
drum not turning on washing machine,10,34,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Dec/Jan/Mar/May/Jun,False,
samsung washing not draining,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Nov/May/Jun,False,
daewoo washing machine not spinning,10,34,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Mar/May/Jun,False,
washing machine leaking from door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer leaking from door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
leaking washing machine door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine troubleshoot,10,20,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer leaking from drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
